Dpto Label,Latitud,Longitud,Año_max,Año_min,BON_media,ESTAB_media,GH_media,PH_media,PROT_media,RTO_media,P.BLANCA_media,W_media,Grupo
Dpto. Utracán                           ,-37.250,-65.000,2018,2018,101,11.9,26.6,82.2,10.6,1800.0, 0.0,293.0, 7
Part. Adolfo Alsina                     ,-37.250,-63.000,2018,2018,101, 8.5,26.8,79.2,10.5,2998.5, 1.4,284.5, 7
Part. Bahía Blanca                      ,-38.667,-62.333,2018,2018,101,17.9,26.5,81.3,10.9,2800.0, 0.8,256.0, 7
Part. Cnel. Dorrego                     ,-38.667,-61.167,2018,2018,103,15.3,29.4,82.3,11.9,4170.7, 2.1,324.4, 8
Part. Cnel. Pringles                    ,-38.250,-61.333,2018,2018,103,15.8,28.2,81.5,11.6,4179.8, 1.2,302.0, 8
Part. Cnel. de Marina Leonardo Rosales  ,-38.880,-62.075,2018,2018,99, 9.3,26.4,77.3,10.7,3500.0, 3.6,248.0, 6
Part. Cnel. Suárez                      ,-37.500,-61.833,2018,2018,103,15.1,28.8,79.5,11.9,3000.0, 2.0,304.3, 8
Part. Guaminí                           ,-36.750,-62.500,2018,2018,103,13.3,27.2,79.9,11.5,3197.0, 0.5,284.0, 8
Part. Patagones                         ,-40.250,-62.917,2018,2018,99,14.1,27.2,80.5,10.2,1812.9, 5.0,324.5, 6
Part. Pellegrini                        ,-36.333,-63.000,2018,2018,102,25.3,31.2,76.1,12.2,3474.4, 0.8,345.0, 8
Part. Puán                              ,-38.167,-63.000,2018,2018,101,13.5,24.4,83.4,10.8,2597.4, 3.1,235.7, 7
Part. Saavedra                          ,-37.750,-62.500,2018,2018,100,11.9,24.5,79.9,10.5,2600.0, 1.5,277.0, 7
Part. Villarino                         ,-39.000,-62.750,2018,2018,103,16.3,27.7,83.1,11.5,1836.6, 0.4,324.0, 8
Part. Tornquist                         ,-38.250,-62.250,2018,2018,101,12.1,24.7,81.7,10.9,2690.6, 3.5,234.5, 7
Dpto. Gral. Roca                        ,-34.667,-64.250,2018,2018,103,18.2,27.5,81.9,12.0,3500.0, 5.0,297.0, 8











































































































