Dpto Label,Latitud,Longitud,Año_max,Año_min,BON_media,ESTAB_media,GH_media,PH_media,PROT_media,RTO_media,P.BLANCA_media,W_media,Grupo
Part. Gral. Pueyrredón                  ,-38.000,-57.750,2018,2017,100,11.4,23.6,78.3,10.6,4750.0, 2.3,239.5, 6
Part. Gral. Alvarado                    ,-38.167,-58.083,2018,2017,99,14.4,25.3,79.1,10.3,4450.0, 0.5,222.0, 6
Part. Ayacucho                          ,-37.000,-58.500,2018,2017,98, 9.4,20.9,79.2, 9.7,3800.0, 3.8,228.0, 5
Part. Gral. Madariaga                   ,-37.250,-57.250,2018,2017,99,13.0,24.4,77.9,10.3,5450.0, 0.8,230.0, 6
Part. Gral. La Madrid                   ,-37.500,-61.250,2018,2017,102, 9.6,25.4,80.7,11.4,2817.7, 1.2,260.4, 8
Part. Adolfo Gonzáles Chaves            ,-38.000,-60.250,2018,2017,100,10.1,21.8,79.0,10.7,4120.4, 2.4,238.2, 6
Part. Laprida                           ,-37.500,-60.750,2018,2017,99, 8.5,21.5,81.8,10.0,3750.0, 3.0,241.5, 6
Part. Tandil                            ,-37.333,-59.250,2018,2017,102,11.0,27.6,79.7,11.8,4400.2, 1.7,270.2, 8
Part. Tres Arroyos                      ,-38.500,-60.250,2018,2017,101, 9.6,25.3,81.1,11.0,4548.6, 3.3,252.6, 7
Dpto. Juan Martín de Pueyrredón         ,-33.300,-66.333,2018,2017,102,11.9,29.3,77.0,11.9,1900.0, 1.0,272.5, 7
Dpto. Gral. San Martín                  ,-32.500,-63.333,2018,2017,101,11.4,27.0,78.7,11.1,3150.0, 1.0,286.3, 7
Dpto. Tercero Arriba                    ,-32.333,-63.750,2018,2017,102,15.3,28.7,79.4,12.0,2640.0, 0.6,302.4, 8
Dpto. Río Segundo                       ,-31.750,-63.500,2018,2017,100, 9.3,25.8,79.7,10.9,2950.0, 2.5,288.8, 7
Dpto. Totoral                           ,-30.833,-63.917,2018,2017,102,13.2,27.0,79.3,11.6,2700.0, 0.1,267.0, 7
Dpto. Calamuchita                       ,-32.250,-64.583,2018,2017,92, 1.9,23.8,82.2, 8.7,2300.0, 6.7,172.0, 3
Dpto. Juárez Celman                     ,-33.333,-63.667,2018,2017,104,10.3,31.2,80.0,12.3,2440.0, 0.4,304.0, 8
Dpto. Río Cuarto                        ,-33.333,-64.500,2018,2017,103, 9.6,28.2,80.7,11.6,2285.7, 1.5,259.7, 8
Dpto. Río Primero                       ,-31.083,-63.500,2018,2017,102,16.8,26.7,79.2,11.3,2690.9, 1.5,280.9, 7
Dpto. Atreucó                           ,-37.000,-63.750,2018,2017,101,10.2,25.4,82.1,10.9,2366.7, 3.5,254.7, 7
Dpto. Capital                           ,-36.500,-64.250,2018,2017,100,14.3,25.9,82.4,10.7,2150.0, 3.3,287.5, 7
Dpto. Catriló                           ,-36.500,-63.750,2018,2017,100,11.3,26.4,77.0,10.8,2600.0, 3.2,273.0, 6
Dpto. Conhelo                           ,-36.000,-64.500,2018,2017,104,17.4,28.9,80.4,12.3,2900.0, 1.4,317.3, 9
Dpto. Chapaleufú                        ,-35.167,-63.750,2018,2017,104,16.2,29.8,80.8,12.2,3550.0, 3.1,294.5, 8
Dpto. Guatraché                         ,-37.500,-63.750,2018,2017,101,13.3,25.1,80.9,10.5,1840.0, 3.0,259.6, 7
Dpto. Hucal                             ,-38.000,-64.000,2018,2017,100,15.3,26.5,80.8,10.6,1900.0, 1.8,243.8, 7
Dpto. Utracán                           ,-37.250,-65.000,2018,2017,101, 9.8,25.8,81.9,10.6,1700.0, 3.1,276.0, 7
Dpto. Quemú-Quemú                       ,-36.250,-63.750,2018,2017,104,16.6,27.4,81.0,12.2,3200.0, 2.9,292.0, 8
Dpto. Rancul                            ,-35.500,-64.750,2018,2017,103,13.8,29.0,80.4,11.9,2900.0, 2.5,275.7, 8
Dpto. Realicó                           ,-35.250,-64.250,2018,2017,104,14.3,29.6,81.1,12.1,2500.0, 1.6,282.5, 8
Dpto. Trenel                            ,-35.667,-64.250,2018,2017,103, 9.2,28.1,81.7,12.0,2450.0, 2.1,269.0, 8
Part. Adolfo Alsina                     ,-37.250,-63.000,2018,2017,101, 8.5,24.7,80.6,10.6,2665.6, 3.2,244.2, 7
Part. Bahía Blanca                      ,-38.667,-62.333,2018,2017,100,10.5,23.8,82.4,10.4,2300.0, 2.1,242.0, 6
Part. Cnel. Dorrego                     ,-38.667,-61.167,2018,2017,102,11.6,27.3,83.1,11.4,3783.7, 1.7,303.1, 8
Part. Cnel. Pringles                    ,-38.250,-61.333,2018,2017,102,12.1,26.5,83.1,11.3,3739.9, 2.0,288.6, 8
Part. Cnel. de Marina Leonardo Rosales  ,-38.880,-62.075,2018,2017,101, 8.1,27.3,79.9,11.0,3500.0, 1.8,248.5, 7
Part. Cnel. Suárez                      ,-37.500,-61.833,2018,2017,102,11.7,27.2,81.5,11.6,3100.0, 1.9,287.5, 8
Part. Guaminí                           ,-36.750,-62.500,2018,2017,102,11.0,26.2,81.0,11.3,2918.2, 2.1,274.2, 8
Part. Patagones                         ,-40.250,-62.917,2018,2017,100,11.3,27.7,81.0,10.7,1575.3, 5.3,307.7, 7
Part. Pellegrini                        ,-36.333,-63.000,2018,2017,101,16.6,27.6,77.0,11.5,2848.3, 1.8,317.0, 7
Part. Puán                              ,-38.167,-63.000,2018,2017,101,10.3,24.3,83.4,10.7,2798.7, 3.8,242.7, 7
Part. Saavedra                          ,-37.750,-62.500,2018,2017,100, 9.5,25.3,81.3,10.6,2800.0, 2.2,258.6, 7
Part. Tornquist                         ,-38.250,-62.250,2018,2017,101,10.3,24.5,82.9,10.7,2845.3, 2.9,251.3, 7
Part. Villarino                         ,-39.000,-62.750,2018,2017,102,12.9,27.9,83.5,11.3,1668.3, 3.9,279.5, 8
Dpto. Gral. Roca                        ,-34.667,-64.250,2018,2017,102,12.0,24.5,81.4,11.1,3700.0, 7.4,279.8, 7
Part. Gral. Pinto                       ,-34.750,-62.250,2018,2017,99,13.0,28.2,78.3,10.4,4000.0, 2.0,263.0, 6
Part. Florentino Ameghino               ,-34.839,-62.467,2018,2017,100,11.2,28.9,76.8,11.0,4200.0, 0.6,202.0, 7
Part. Gral. Villegas                    ,-34.750,-63.000,2018,2017,100,10.7,25.6,76.3,11.0,4100.0, 0.0,200.0, 7
Part. Leandro N. Alem                   ,-34.500,-61.500,2018,2017,103, 9.7,28.3,80.4,11.6,3900.0, 2.3,204.5, 8
Part. Lincoln                           ,-35.000,-61.750,2018,2017,99,16.9,24.8,77.8,10.5,3800.0, 5.3,242.0, 6
Part. Bolívar                           ,-36.333,-61.083,2018,2017,97,18.1,20.9,74.5,10.0,4000.0, 5.5,222.0, 5
Part. Necochea                          ,-38.250,-59.250,2018,2017,99,10.2,24.8,76.8,10.6,4192.6, 0.1,214.5, 6
Part. Rauch                             ,-36.583,-58.833,2018,2017,102,11.4,28.0,76.3,12.0,4000.0, 0.6,210.0, 8
Part. San Cayetano                      ,-38.417,-59.667,2018,2017,101, 6.5,22.3,79.7,10.9,4194.7, 6.5,269.5, 7
Dpto. Toay                              ,-36.583,-64.800,2018,2017,102,15.3,27.9,81.7,11.2,1800.0, 0.4,270.0, 7

























































































